lr: 1e-05, batchsize: 128, steps: 500, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.601562, test_loss: 4.60552
lr: 1e-05, batchsize: 128, steps: 500, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.664062, test_loss: 4.40935
lr: 1e-05, batchsize: 128, steps: 100, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.53125, test_loss: 13.4887
lr: 1e-05, batchsize: 128, steps: 100, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.570312, test_loss: 13.9944
lr: 1e-05, batchsize: 128, steps: 500, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.71875, test_loss: 5.4195
lr: 1e-05, batchsize: 128, steps: 500, thresh: 0.3, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.554688, test_loss: 6.60182
lr: 1e-05, batchsize: 128, steps: 500, thresh: 0.3, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.601562, test_loss: 6.87513
lr: 1e-05, batchsize: 128, steps: 100000, thresh: 0.3, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.992188, test_loss: 3.43269
lr: 1e-05, batchsize: 128, steps: 100000, thresh: 0.3, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.1118, test_loss: 3.45729
lr: 1e-06, batchsize: 128, steps: 100000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.984375, test_loss: 3.88355
lr: 1e-05, batchsize: 128, steps: 4400, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.9375, test_loss: 1.28052
lr: 1e-05, batchsize: 128, steps: 50000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.984375, test_loss: 0.14155
lr: 1e-05, batchsize: 128, steps: 300, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.703125, test_loss: 2.02408
lr: 1e-05, batchsize: 128, steps: 50000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 1, test_loss: 0.00745312
lr: 1e-05, batchsize: 128, steps: 50000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.992188, test_loss: 0.234054
lr: 1e-05, batchsize: 128, steps: 50000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.984375, test_loss: 8.11917
